L,P,	Str,	Ilość	Nr na schemacie	Kod producenta	Kod KTM	Typ	Firma	Opis	Funkcja	
26	2	30	N.L.570	174331-21	6510.0050	STEG	ENTRLEC	BARRETTE 2 POLES BJM5	MP2_MASZYNA	TRANSLINE 1228
27	2	10	N.L.580	174332-22	6510.0051	STEG	ENTRLEC	BARRETTE 3 POLES BJM5	MP2_MASZYNA	TRANSLINE 1228
28	2	2	M.L.590	174335-25	6510.0054	STEG	ENTRLEC	BARRETTE 10 POLES BJM5	MP2_MASZYNA	TRANSLINE 1228
29	2	35	N.L.600	113001-16	6510.0055	TRENNVORRICHTUNG	ENTRLEC	SEPARATEUR CIRCUIT SCM5	MP2_MASZYNA	TRANSLINE 1228
30	2	10	N.L.610	118499-23	6510.0057	FLANSCH	ENTRLEC	FLANSQUE D’EXTERMITE FEM6	MP2_MASZYNA	TRANSLINE 1228
31	2	10	N.L.620	118368-16	6510.0062	FLANSCH	ENTRLEC	FLASQUE D’EXTERMITE FEM6	MP2_MASZYNA	TRANSLINE 1228
32	3	1	BR1	K8-15-15	8302.0043	KASETEN	HAWA	BOITE ETRANCHE 80X150X150	MP2_MASZYNA	TRANSLINE 1228
33	3	1	BR2		8302.0056	GEHAEUSE	TELEMEC	BOITIER XAPM 21	MP2_MASZYNA	TRANSLINE 1228
34	3	1	BR3		8302.0054	GEHAEUSE	TELEMEC	BOITIER XAPM11 80X80X49	MP2_MASZYNA	TRANSLINE 1228
35	3	1	BR4	K8-20-15	8302.0031	KASTEN	HAWA	BOITE ETANCHE 80X200X150	MP2_MASZYNA	TRANSLINE 1228
36	3	1	BR5	K8-20-15	8302.0031	KASTEN	HAWA	BOITE ENTANCHE 80X200X150	MP2_MASZYNA	TRANSLINE 1228
37	3	1	BR6		8302.0054	GEHAEUSE	TELEMEC	BOITIER XAPM11 80X80X49	MP2_MASZYNA	TRANSLINE 1228
38	3	1	BR7		8302.0054	GEHAEUSE	TELEMEC	BOITIER XAPM11	MP2_MASZYNA	TRANSLINE 1228
39									MP2_MASZYNA	TRANSLINE 1228
40	3	1	N.L.510	XSA-H05713	8327.0050	DETEKTOR	TE	DETECTEUR DE 12V A 48V DIAM 18 3 FILS	MP2_MASZYNA	TRANSLINE 1228
