L,P,	Str,	Ilość	Nr na schemacie	Kod producenta	Kod KTM	Typ	Firma	Opis	Funkcja	
79	5	1	XP7	EMS 43001	8360.0039	SOCKEL	RADIALE	EMBASE MALE 35 CONTACTS STANDARD MARQUE JAEGER	MP2_SZAFA	TRANSLINE 1228
80	5	1	XP9	EMS 43001	8360.0039	SOCKEL	RADIALE	EMBASE MALE 35 CONTACTS STANDARD MARQUE JAEGER	MP2_SZAFA	TRANSLINE 1228
81	6	1	XP15	EMS 43001	8360.0039	SOCKEL	RADIALE	EMBASE MALE 35 CONTACTS STANDARD MARQUE JAEGER	MP2_SZAFA	TRANSLINE 1228
82	6	1	XP17	EMS 43001	8360.0039	SOCKEL	RADIALE	EMBASE MALE 35 CONTACTS STANDARD MARQUE JAEGER	MP2_SZAFA	TRANSLINE 1228
83	6	1	XP19	EMS 43001	8360.0039	SOCKEL	RADIALE	EMBASE MALE 35 CONTACTS STANDARD MARQUE JAEGER	MP2_SZAFA	TRANSLINE 1228
84	6	1	XP21	EMS 38322	8360.0037	SOCKEL	FICA	EMBASE MALE 17 CONTACTS STANDARD MARQUE: JAEGER	MP2_SZAFA	TRANSLINE 1228
85	6	7	I4-IA	1001-11L37	8346.0172	KARTE	GERAL	INTERFACE COMPTAGE POUR MP2	MP2_SZAFA	TRANSLINE 1228
86									MP2_SZAFA	TRANSLINE 1228
87	6	1	XS14	EFS 536625	8360.0034	SOCKEL	RADIALE	EMBASE FEMELLE 25 CONTACT STANDARD MARQUE: JAEGER	MP2_SZAFA	TRANSLINE 1228
88	6	1	XP13	EMS 43001	8360.0039	SOCKEL	RADIALE	EMBASE MALE 35 CONTACTS STANDARD MARQUE JAEGER	MP2_SZAFA	TRANSLINE 1228
89									MP2_SZAFA	TRANSLINE 1228
90	6	1	TC1	IMO-1000-220	8395.0096	TRANSFORMATOR	CECLA	TRANSFO MONO P:220-380V * S:220-50HZ 1000VA	MP2_SZAFA	TRANSLINE 1228
91	6	1	TC2		8395.0010	TRANSFORMATOR		TRANSFO. MONO. 100VA 50HZ P:230V/400V S:110/220V SELON NFC52-201	MP2_SZAFA	TRANSLINE 1228
92	6	1	T1		8346.0141	REGULATOR	M.C.B.	REGULATEUR TENSION 500VA MODELE”I”ENTREE:220-50HZ SORTIE:220V-50HZ	MP2_SZAFA	TRANSLINE 1228
93	7	1	QM1-N.L.40		8361.0008	SCHALTER		INTERRUPTEUR HPC 63A UL+ RALLONGE+CAPOT+SUPPORTS+POIGNEE	MP2_SZAFA	TRANSLINE 1228
94	7	1	QM1-N.L.41		8385.2038	SCHALTER	K.M	INTERRUPTEUR N6-63 CNA NORMES „UL”	MP2_SZAFA	TRANSLINE 1228
95	7	1	QM1-N.L.42		8385.2072	HANDGRIFF	KM	POIGNEE GRISE:H6-NA SONDM COMPLETE/DISJONCTEUR N6	MP2_SZAFA	TRANSLINE 1228
96	7	1	QM1-N.L.43	HNZM6	8385.0089	HAUBE	K.M	CAPOT DE BORNES POUR SEC/DISJ NZM6	MP2_SZAFA	TRANSLINE 1228
97	7	4	QM1-N.L.44	PKZM3/NZM6	8385.0108	TREAGER	DIVERS	SUPPORT BT 2535 POUR DISJ SUIVANT FT:ME-03	MP2_SZAFA	TRANSLINE 1228
98	7	1	QF5	GV2M-02	8385.0102	SICHERHEISSCHALTER	KM	DISJ. DE 0,16 A 0,24 AMP	MP2_SZAFA	TRANSLINE 1228
99	8	1	XS3-N.L.10	FFS 38382	8360.0042	STECKER	FICA	FICHE FEMELLE 17 CONTACTS STANDARD MARQUE:JAEGER	MP2_SZAFA	TRANSLINE 1228
100	8	1	XS3-N.L.20	532940	8360.0051	KABELKLEMME	RADIALE	SERRE-CABLE 12 A 17,5 MM BOITIER N3-4 MARQUE:JAEGER	MP2_SZAFA	TRANSLINE 1228
